	bioRxiv	PMC	NYTAC
document_count	71118.0	1977647.0	1855658.0
sentence_count	22195739.0	480489811.0	72171037.0
token_count	420969930.0	8597101167.0	1218673384.0
stop_word_count	158429441.0	3153077263.0	559391073.0
avg_document_length	312.09734525717823	242.9603518727053	38.892423603918395
avg_sentence_length	22.707745527193303	21.462277706862757	19.890981641291923
negatives	1148382.0	24928801.0	7272401.0
coordinating_conjunctions	14295736.0	307082313.0	38730053.0
coordinating_conjunctions%	0.03395904310790084	0.03571928572606967	0.03178050288821275
pronouns	4604432.0	74994125.0	46712553.0
pronouns%	0.010937674336976991	0.008723187449260827	0.03833065824961022
passives	15012441.0	342407363.0	19472053.0
passive%	0.035661551883290094	0.039828234697799274	0.015978073580377793
