dim1	dim2
0.82451177	-3.278228
0.66875535	-2.9325032
-0.022259597	-0.97236115
-0.25331715	-0.053675845
0.13353953	-0.39229462
2.2269256	1.6217386
0.78299767	-4.135062
-1.6701374	-2.3080022
0.89161056	0.5019052
-0.07398692	-1.3360671
1.3355187	-2.5434253
1.6163516	-1.3291694
1.2645293	-1.2311455
-1.3560987	-2.2042463
0.4209258	-0.8854351
0.41728732	-1.5134748
-0.41429916	-0.14509018
0.20759761	-0.44995204
1.2300756	-0.7177747
0.9235491	-3.264768
1.7319221	1.8474383
1.2542093	0.09120391
1.2661377	-1.215315
1.2846336	-1.0529543
1.348335	-1.2344743
2.9119968	-0.008444235
-0.3623512	-3.2187605
1.4191883	6.958912
-0.45037654	-2.4272826
0.16942114	-0.34001788
0.054773416	-1.1324214
1.3371494	-1.100022
0.84115237	3.396851
0.6495785	-5.7907043
0.53229976	-2.2635734
0.18948826	-2.276851
0.8594621	-1.2065481
0.076209486	-1.1693941
0.39578995	-0.995405
1.1529124	-0.35033986
0.886162	-3.6353629
1.6765567	0.9015483
1.1217837	-2.6510818
-1.1017596	-3.6090224
2.0297813	-5.70287
0.9679985	-1.237949
2.1386635	0.82096225
0.54147965	-0.2051555
0.60020435	-1.3318614
0.9735486	-2.987181
0.85606253	-1.5356592
0.7623832	-2.464383
-0.5155811	-1.8031787
1.2663424	-1.2628964
1.4433256	1.0883921
1.5640044	-0.5513297
2.1637514	1.0491844
-0.47196248	-1.6510955
2.0488133	0.98677856
1.4429271	-0.5062694
